aX,aY,aZ,gX,gY,gZ
0.346,0.003,-0.986,-11.047,34.180,24.353
0.343,0.114,-1.042,7.446,39.429,42.053
0.333,0.190,-1.061,22.339,39.795,50.659
0.286,0.253,-1.080,29.907,37.109,52.612
0.248,0.331,-1.108,29.358,33.691,49.133
0.225,0.387,-1.120,24.536,27.832,39.978
0.213,0.398,-1.098,17.273,20.264,26.001
0.204,0.371,-1.069,8.850,12.634,10.925
0.201,0.333,-1.045,0.244,6.775,-1.221
0.205,0.290,-1.029,-7.324,3.479,-9.705
0.219,0.241,-1.020,-12.085,2.808,-15.442
0.231,0.172,-1.019,-12.756,3.479,-17.639
0.266,0.107,-0.998,-10.437,4.272,-15.991
0.283,0.078,-0.985,-7.690,5.188,-9.827
0.278,0.097,-0.987,-6.470,6.775,-1.099
0.261,0.150,-1.000,-5.432,7.996,7.202
0.246,0.206,-1.007,-3.601,8.240,13.184
0.230,0.247,-1.001,-2.075,7.385,15.747
0.213,0.290,-1.001,-2.136,6.958,16.113
0.206,0.325,-1.013,-3.296,6.958,13.794
0.204,0.331,-1.017,-4.150,6.958,9.216
0.208,0.314,-1.018,-5.127,6.531,3.784
0.207,0.296,-1.021,-6.226,5.737,-0.671
0.204,0.284,-1.028,-6.897,4.761,-4.272
0.208,0.263,-1.021,-6.897,3.601,-7.935
0.220,0.230,-1.013,-5.981,2.319,-10.010
0.227,0.211,-1.018,-5.249,0.793,-9.094
0.242,0.212,-1.034,-4.639,-1.099,-6.775
0.240,0.208,-1.021,-3.113,-3.235,-3.784
0.241,0.213,-1.003,-1.526,-4.761,-1.160
0.230,0.225,-0.988,-0.427,-5.188,1.038
0.221,0.246,-0.974,0.183,-4.761,2.747
0.200,0.271,-0.974,0.549,-3.845,3.662
0.201,0.290,-0.969,1.648,-2.319,2.991
0.200,0.279,-0.967,3.906,-1.343,1.953
0.208,0.249,-0.960,6.409,-0.916,0.366
0.216,0.230,-0.962,7.629,-0.549,-0.732
0.216,0.218,-0.957,6.958,-0.549,-1.221
0.226,0.222,-0.958,4.639,-0.427,-1.892
0.225,0.225,-0.969,1.343,0.183,-2.441
0.228,0.232,-0.971,-1.343,0.366,-2.808
0.228,0.245,-0.973,-3.418,0.305,-2.502
0.225,0.259,-0.978,-4.089,0.549,-1.892
0.221,0.275,-0.982,-3.662,0.977,-1.648
0.218,0.289,-0.985,-1.892,1.709,-1.343
0.213,0.296,-0.988,1.038,2.869,-1.526
0.213,0.304,-1.007,3.174,3.540,-2.563
0.231,0.302,-1.033,4.517,2.869,-5.066

1.062,-0.526,-1.202,-98.206,-17.517,104.309
1.074,-0.616,-1.209,-103.394,-21.729,122.009
1.074,-0.691,-1.184,-110.474,-21.790,142.639
1.072,-0.794,-1.174,-120.178,-20.752,171.326
1.076,-0.888,-1.140,-133.972,-20.447,207.397
1.054,-0.963,-1.087,-150.940,-23.621,246.704
0.937,-0.961,-0.993,-170.837,-32.959,285.217
0.764,-0.904,-0.893,-197.937,-43.030,315.063
0.574,-0.762,-0.857,-232.117,-49.744,332.764
0.488,-0.586,-0.899,-268.005,-51.514,335.999
0.502,-0.310,-0.964,-297.302,-45.959,322.876
0.524,-0.084,-0.997,-305.847,-38.391,303.589
0.580,0.052,-0.972,-289.185,-31.250,284.119
0.615,0.096,-0.948,-250.793,-27.588,270.264
0.639,0.067,-0.894,-202.087,-25.391,263.733
0.648,-0.046,-0.804,-156.982,-23.193,260.803
0.637,-0.146,-0.726,-127.319,-20.752,257.385
0.583,-0.188,-0.673,-114.258,-18.494,253.906
0.533,-0.173,-0.652,-114.014,-17.334,249.756
0.452,-0.112,-0.679,-121.399,-15.503,243.164
0.372,-0.035,-0.711,-128.662,-12.207,234.070
0.315,0.039,-0.771,-130.798,-6.897,226.318
0.312,0.082,-0.790,-123.718,-0.916,220.825
0.300,0.083,-0.807,-108.032,2.991,216.919
0.329,0.097,-0.806,-92.957,4.700,213.501
